#NAME?,NIKKEI 225 STOCK AVERAGE - PRICE INDEX,MSCI JAPAN - PRICE INDEX,TOPIX - PRICE INDEX,MSCI HONG KONG - PRICE INDEX,S&P HONG KONG BMI - PRICE INDEX,HANG SENG - PRICE INDEX,KOREA SE KOSPI 200 - PRICE INDEX,MSCI KOREA - PRICE INDEX,KOREA SE COMPOSITE (KOSPI) - PRICE INDEX
4/23/1999,141.74,7.206,11.19,962.421,25.687,1665.2,0.07,0.144,0.63
4/26/1999,142.23,7.258,11.3,980.556,26.022,1693.91,0.08,0.15,0.65
4/27/1999,141.1,7.241,11.24,1001.136,26.436,1724.49,0.08,0.154,0.67
4/28/1999,142.19,7.288,11.31,976.587,26.051,1694.51,0.08,0.153,0.67
4/29/1999,142.22,7.289,11.31,975.634,26.095,1700.56,0.07,0.145,0.64
4/30/1999,139.92,7.191,11.2,988.57,26.4,1720.31,0.07,0.142,0.63
5/3/1999,139.03,7.146,11.13,992.539,26.444,1720.81,0.07,0.142,0.64
5/4/1999,138.11,7.098,11.06,1009.461,26.89,1749.46,0.07,0.144,0.64
5/5/1999,137.97,7.091,11.05,1023.828,26.911,1753.42,0.07,0.144,0.64
5/6/1999,143.23,7.367,11.43,1021.037,26.931,1750.67,0.08,0.153,0.67
5/7/1999,140.4,7.294,11.34,972.825,25.878,1676.89,0.08,0.153,0.67
5/10/1999,140.7,7.31,11.39,984.848,26.118,1698.28,0.08,0.154,0.68
5/11/1999,138.41,7.173,11.21,965.223,25.655,1660.96,0.07,0.147,0.65
5/12/1999,140.18,7.186,11.26,980.571,25.893,1678.79,0.07,0.146,0.64
5/13/1999,138.5,7.087,11.11,988.274,25.952,1683.98,0.07,0.14,0.62
5/14/1999,137.72,7.023,11.04,970.338,25.614,1658.37,0.07,0.14,0.61
5/17/1999,133.33,6.816,10.74,950.298,25.09,1623.86,0.07,0.137,0.59
5/18/1999,132.94,6.849,10.75,952.157,25.131,1628.54,0.07,0.141,0.61
5/19/1999,129.5,6.63,10.44,931.738,24.757,1599.53,0.07,0.141,0.61
5/20/1999,130.52,6.661,10.49,931.675,24.68,1596.04,0.07,0.137,0.59
5/21/1999,131.49,6.719,10.57,921.622,24.475,1582.64,0.07,0.138,0.6
5/24/1999,132.37,6.761,10.64,935.353,24.799,1603.83,0.07,0.135,0.58
5/25/1999,132.12,6.764,10.66,929.328,24.611,1592.15,0.07,0.136,0.59
